feature	weight
SMYD3	0
AKT3	-0.142403755841347
MTR	0
PCNX2	-0.0476335272470081
SIPA1L2	0
MPC2	0
SELL	0
DNM3	0
TNFSF4	0
PRDX6	0
RALGPS2	0
XPR1	0
FAM129A	0
RGS1	-0.0634091659899601
DENND1B	0
BTG2	-0.115473897510161
CR1	-0.0526996938074097
ATF3	0
EPRS	0
DUSP10	0
LBR	0
ITPKB	-0.0638952455417878
ATF6	0
SLAMF1	0
TAGLN2	-0.108166037283681
LMNA	-0.0729800939620098
HAX1	0
GATAD2B	0
S100A4	0
S100A6	0
S100A11	-0.0161056043942581
S100A10	0
ANP32E	0
TXNIP	-0.000645590854630657
RBM8A	0
TSPAN2	0
PTPN22	0
SARS	0
CDC14A	-0.133222767850987
DIPK1A	0
TGFBR3	0
LRRC8D	-0.0451113084153264
LRRC8C	0
GIPC2	0
GADD45A	0
PDE4B	-0.0412426114998385
USP1	0
LOC100424766	-0.00106211361788346
JUN	-0.143035095231612
FAF1	-0.00708312676873682
NASP	0
PRDX1	0
SCMH1	0
MACF1	0
MARCKSL1	0
IFI6	0
CD52	0
SH3BGRL3	0
STMN1	0
ID3	0
EIF4G3	0
LOC695047	0
TNFRSF1B	0
SRM	0
CA6	0
RERE	0
TNFRSF25	-0.00558384244974103
TNFRSF18	0
DLG1	0
CCDC50	0
LPP	0
ST6GAL1	-0.0957799028638844
CLASP2	-0.0103870805047898
SLC4A7	0
SATB1	0
TBC1D5	-0.005980137962959
PLCL2	0
SH3BP5	0
SRPRB	0
STAG1	-0.0263831610061564
ZBTB38	0
ATP1B3	0
TFDP2	0
SLC9A9	0
TSC22D2	0
SERP1	0
GPR171	0
SSR3	0
TIPARP	-0.0684834947672816
RSRC1	0
SMC4	0
PRKCI	0
SKIL	-0.0744318314315667
TNIK	0
TBL1XR1	0
CSRNP1	-0.00421626781465915
MANF	0
GNL3	0
SELENOK	0
ARF4	0
SLMAP	0
LRIG1	0
SUCLG2	-0.00271776946653999
FRMD4B	0
FOXP1	0
LOC705671	0
BHLHE40	0
LOC100427851	0
SLC6A6	0
TMCC1	0
GOLGB1	0
TIGIT	0
CBLB	0
ALCAM	0
NFKBIZ	-0.0570395654524027
CMSS1	0
CLDND1	-0.0474120428168252
ITGB2	0
TTC3	0
RUNX1	-0.0177991224477114
IFNGR2	0
IFNAR2	0
TIAM1	0
APP	0
NRIP1	0
LOC694064	0
ZFAND2A	0
LFNG	0
ACTB	0
ARPC1B	0
PVRIG	-0.0309696095456178
CUX1	0
TMEM120A	0
SEC61G	0
MYO1G	0
COA1	0
RALA	0
ELMO1	-0.0991141035341333
GARS	0
CHN2	-0.0887869791752211
JAZF1	0
CYCS	0
AHR	0
GLCCI1	0
CDK6	0
LOC114677006	0
NAMPT	0
COG5	-0.0301329332981935
IMMP2L	0
MDFIC	0
SND1	0
AHCYL2	0
LOC708686	-0.109364390529087
EXOC4	0
BRAF	-0.0411636514628791
LOC114677140	0
LOC106997709	0
EZH2	0
KMT2C	-0.0610195273894221
INSIG1	0
LMBR1	-0.0769351523239264
ESYT2	-0.0955287654889362
AFDN	0
QKI	0
SOD2	0
FOXO3	0
REV3L	-0.0644847426606043
FYN	0
MAN1A1	0
THEMIS	0
AHI1	0
MAP3K5	0
TNFAIP3	-0.123736876335619
CITED2	0
HIVEP2	-0.0210216799618643
PHACTR2	0
STX11	0
UTRN	-0.0669518274534097
STXBP5	0
PLEKHG1	0
MTHFD1L	0
ARID1B	-0.0670894591456049
SNX9	0
EZR	-0.104084724949439
ASCC3	0
BACH2	0
CASP8AP2	0
PTP4A1	-0.0174314527254743
CD2AP	0
SUPT3H	0
HSP90AB1	0
BTBD9	-0.0401496451759259
ZFAND3	-0.0054848237229313
PIM1	0
CDKN1A	-0.086827494329616
MAMU-DPB	0
LTB	-0.155639640386668
LOC696872	0
LOC696005	0
CARMIL1	-0.0686428832576527
CDKAL1	0
ATXN1	0
JARID2	0
CD83	0
HIVEP1	0
NEDD9	0
LOC722929	-0.0816747003668269
SERPINB9	0
GMDS	0
SLBP	0
LCORL	0
ARAP2	0
ATP8A1	-0.0365183633188016
TXK	0
ANTXR2	-0.0907605060946205
BMP2K	0
CNOT6L	-0.0316172795732179
SCFD2	0
AFF1	0
HERC6	0
HERC3	-0.0336315358634033
GPRIN3	-0.119234038513117
TSPAN5	0
H2AFZ	0
PPP3CA	0
NFKB1	0
TET2	0
LEF1	0
GAR1	0
FAM241A	-0.018082710073566
CAMK2D	0
ANXA5	0
KIAA1109	-0.0003079857589398
SPATA5	0
SCLT1	0
NAA15	0
MAML3	0
INPP4B	0
ZNF827	0
LRBA	0
FBXW7	0
RAPGEF2	0
HMGB2	0
ACSL1	0
SNX25	-0.125973248024478
RETREG1	0
IL7R	-0.0665207443845573
PTGER4	0
PARP8	0
ITGA1	0
ARL15	0
ZSWIM6	0
ADAMTS6	0
ERBIN	-0.0144286362469419
PIK3R1	0
COL4A3BP	0
IQGAP2	-0.0250397888977822
JMY	-0.0171185705922718
RASGRF2	0
SSBP2	-0.0461803985145738
FAM172A	-0.000257014691374132
GLRX	0
ELL2	-0.0991538336411021
ST8SIA4	0
PAM	0
FBXL17	-0.000330756275461788
MAN2A1	0
CAMK4	-0.109931735591806
COMMD10	0
MARCH3	0
RAPGEF6	-0.0181162809462324
FNIP1	-0.00523389103949604
IRF1	0
HSPA9	0
ARHGAP26	-0.00769624432070285
LARS	0
CD74	0
DUSP1	-0.202964362234454
SQSTM1	-0.0550339405455903
HYPK	0
GABPB1	0
MYO5A	0
RFX7	0
TCF12	0
ANXA2	-0.00414401322867282
RORA	-0.0650854905201745
ZNF609	0
DENND4A	-0.167118036514431
MYO9A	0
PKM	0
ARIH1	-0.107855826459287
SCAPER	-0.0222741402944994
CTSH	0
BCL2A1	0
ISG20	-0.00818701676220581
SLCO3A1	-0.0400287596501171
SELENOS	0
LOC710951	0
GZMB	0
SCFD1	0
ARHGAP5	0
BAZ1A	0
NFKBIA	-0.0308548048755699
GNG2	-0.0630371469230462
LGALS3	0
DAAM1	0
PRKCH	0
SYNE2	-0.0485880930500265
GPHN	0
ZFP36L1	0
LOC114679587	0
SUSD6	0
PCNX1	-0.00973495191689515
SIPA1L1	0
NPC2	0
FOS	-0.268995815304907
BATF	0
GPR65	0
FOXN3	0
CALM1	0
SERPINA1	0
HSP90AA1	-0.0478901692816483
TRAF3	0
CRIP1	-0.0813446057862236
TNKS	-0.00688957238398487
LOC714576	-0.0295352522767391
WRN	0
SPIDR	0
TOX	0
CHD7	0
PDE7A	-0.0227427508231755
NCOA2	0
ZBTB10	0
PAG1	-0.0744171273283193
VPS13B	-0.0220645429365303
RNF19A	0
KLF10	0
OXR1	0
TRPS1	-0.0524053266413004
ZHX2	0
NSMCE2	0
LOC106999943	0
ASAP1	0
AGO2	0
PLEC	0
KLF6	-0.117600105701135
LOC107000013	0
GATA3	0
CELF2	-0.0283577661702624
CAMK1D	-0.0166051734052825
FAM107B	0
VIM	-0.154751741304822
DNAJC1	0
MPP7	-0.111543150621064
LOC695267	0
ZEB1	-0.160007105685579
ITGB1	-0.0220820637344786
CREM	-0.00721068751227683
MAPK8	-0.0299918375895075
GHITM	0
ADK	0
DDIT4	-0.00768378212893838
VSIR	0
SRGN	-0.0197855966256317
DDX21	0
REEP3	0
JMJD1C	-0.109249195879913
ARID5B	0
SGMS1	0
FAS	0
KIF20B	0
EXOC6	0
SORBS1	0
PGAM1	0
NPM3	0
GBF1	0
DUSP5	0
VTI1A	-0.0103524272422525
RGS10	0
CALY	0
FUOM	0
PIM3	0
CERK	-0.00123288125018232
TSPO	0
ARFGAP3	0
ADSL	-0.023550136528835
APOBEC3H	0
APOBEC3C	0
RAC2	0
IL2RB	0
APOL2	0
GSTT1	0
LOC114669724	0
CST7	0
TASP1	0
SMOX	0
CDC25B	0
TRIB3	0
HM13	0
EIF2S2	0
MAP1LC3A	0
PIGT	0
LOC107000371	0
CEBPB	0
TSHZ2	0
PMEPA1	-0.0469888343919689
LOC694289	0
ERC1	0
CCND2	-0.00311597975598557
GAPDH	0
CHD4	0
GABARAPL1	0
CD69	-0.0812480642760323
SLC2A3	-0.0431346712912805
ETV6	0
DUSP16	0
ARHGDIB	-0.00706490620614381
LRMP	0
ITPR2	-0.0395634621707743
CCDC91	-0.0351481180883698
ARID2	-0.0288343862120426
SLC38A1	-0.086321213655096
LOC107000845	0
TUBA1B	0
TUBA1A	-0.0081471946004985
DIP2B	-0.0927741244277582
ITGB7	-0.00324063486433055
TESPA1	0
MON2	0
OSBPL8	-0.050947151171156
ATP2B1	0
TMPO	0
HSP90B1	0
TXNRD1	0
CHST11	0
CRY1	-0.0204146232533898
BTBD11	-0.0534150692142719
PPP1CC	-0.045995064525427
MED13L	-0.072525642584265
TESC	0
BICDL1	-0.0726351901125087
DYNLL1	0
SPPL3	0
ORAI1	0
RHOF	-0.0720515240483262
RILPL2	0
MAP3K2	-0.0781906471212274
DBI	0
MGAT5	-0.0719428699280312
CXCR4	-0.00393132451509656
ARHGAP15	-0.0532871449726565
GTDC1	0
ZEB2	0
MBD5	0
NR4A2	-0.0544845134160273
TANK	-0.0179391088943609
STK39	0
CERS6	-0.012577457083303
UBR3	0
ITGA6	-0.0654420684651805
ITGA4	0
STAT1	0
STAT4	0
NABP1	0
ANKRD44	-0.0830510751848165
HSPD1	0
PLCL1	0
FAM117B	0
NBEAL1	-0.0285566189579065
CTLA4	0
ICOS	-0.141839043909056
USP37	0
TUBA4A	-0.000634660726215387
DOCK10	0
PSMD1	0
INPP5D	-0.0210740784119079
ARL4C	-0.0766432217601249
LRRFIP1	0
DUSP2	0
TMEM131	-0.0971885468014917
AFF3	0
MAP4K4	0
LIMS1	-0.0377978698073177
BCL2L11	0
LOC106993126	0
GNLY	0
MAT2A	0
CAPG	0
TMSB10	0
MTHFD2	0
EXOC6B	-0.0628126485830549
PELI1	0
VPS54	0
EHBP1	0
REL	0
LOC718777	0
SPTBN1	0
FBXO11	0
ZFP36L2	-0.145169768659523
SOS1	-0.0526782936052956
SRSF7	-0.0574876929146998
MEMO1	0
BABAM2	0
DTNB	0
LOC114671808	0
PDIA6	0
ODC1	0
ADAM17	0
ID2	0
LOC114672189	0
LSP1	0
CDK2AP2	0
PTPRCAP	-0.0263797642329217
PACS1	0
LOC106993196	0
PPP1R14B	0
FKBP2	0
PLAAT4	0
SLC3A2	0
AHNAK	-0.0134977256049029
FTH1	0
LPXN	-0.00814973568681539
PTPRJ	0
PHF21A	0
CD82	0
ELP4	0
LDHA	0
PDE3B	0
DENND5A	0
RRM1	0
FCHSD2	0
UCP2	0
SYTL2	-0.0239382970155239
PICALM	0
TMEM135	0
TAF1D	0
SESN3	0
MAML2	0
BIRC3	0
ATM	0
SIK3	-0.0509837809082054
HYOU1	0
HSPA8	0
NCAPD3	-0.0345207324246469
TUBB4B	-0.0264383306073892
SURF4	0
HSPA5	0
DENND1A	0
TRAF1	0
TNFSF8	0
TXN	0
SEC61B	0
ZCCHC7	-0.014298904090037
VCP	0
DNAJA1	0
MLLT3	-0.0113179185697095
LOC712661	0
RRAGA	0
KDM4C	-0.00078597977234094
RFX3	-0.0353461818263755
CEMIP2	0
ANXA1	0
OSTF1	0
CTSL	-0.0144191123240563
IARS	0
AOPEP	0
ATP2A3	0
ZZEF1	-0.0784300271247982
PFN1	0
C1QBP	0
EIF4A1	0
KDM6B	-0.0268814636635329
PIK3R5	0
UBB	0
MAP2K3	0
SSH2	-0.1258508908688
CPD	0
CCL4L1	0
NF1	0
EVI2B	-0.0184915310592508
COPRS	0
USP32	0
BCAS3	0
MSI2	0
MBTD1	-0.0102788085247141
SPAG9	0
TOB1	-0.0835561674215649
SKAP1	0
CCR7	-0.0290505789302508
STAT5B	-0.035089046043864
STAT5A	0
NSF	0
ERN1	0
PECAM1	-0.0955435142725375
RGS9	0
PRKCA	0
PITPNC1	-0.0584427991999299
LOC704104	0
TNRC6C	-0.0143440557480681
SOCS3	-0.0478870506454368
USP36	-0.0299915884881897
RNF213	0
ACTG1	0
SLC16A3	0
CD7	-0.022931447423841
CDK8	0
PAN3	-0.0307503822061257
HSPH1	-0.008889913717
UFM1	0
RGCC	-0.025883658747836
EPSTI1	0
NUFIP1	0
FNDC3A	0
INTS6	0
KLF12	-0.0474269781563868
DOCK9	-0.0601674564186238
GPR183	-0.104932106585034
PCCA	0
ARHGEF7	0
NFATC1	0
ZNF407	0
BCL2	0
PMAIP1	0
LMAN1	0
WDR7	0
KIAA1328	0
TAF4B	0
TTC39C	-0.0213206601408251
MYL12A	0
RAB31	0
CHMP1B	-0.0477220067475391
LDLRAD4	-0.0263422213894915
GZMM	0
CNN2	0
GADD45B	0
S1PR4	-0.0424760162510598
JUNB	-0.197550790605873
IER2	-0.0352237184014706
ADGRE5	-0.034765131141951
DNAJB1	0
TPM4	0
KLF2	-0.0863371122950213
BST2	0
HCST	0
ZFP36	-0.254222911273906
SERTAD1	0
TGFB1	-0.0406497263218768
BCL3	0
FOSB	0
PPP1R15A	-0.0404963275495371
FTL	0
FLT3LG	0
NKG7	0
ZNF331	-0.0321880228512945
MYADM	-0.0855764536590578
UBE2S	0
SOCS1	0
XYLT1	-0.0324871567764827
PRKCB	0
IL4R	0
LAT	-0.0531027869439949
LOC705696	0
CORO1A	0
ALDOA	0
STX4	0
ITFG1	0
FTO	0
MT2A	0
MT1E	0
MT1M	0
MT1X	0
HERPUD1	0
CTCF	0
DPEP2	0
NFAT5	0
AARS	0
WWOX	0
MAF	0
CDYL2	0
CMIP	0
COTL1	0
SLC7A5	0
LOC696748	0
LOC719232	0
LY6E-1	0
LOC714689	0
TBL1X	0
TMSB4X	-0.0358673525741772
SCML1	-0.0252696488355848
SMS	0
SAT1	0
MID1IP1	0
CASK	0
KDM6A	-0.0113764532483587
TIMP1	0
RBM3	0
OTUD5	0
TSPYL2	0
HUWE1	0
MAGEH1	0
LOC708994	-0.0275076675111129
ZC3H12B	0
CYSLTR1	-0.024844982041662
ITM2A	0
DIAPH2	0
BEX1	0
MORF4L2	0
TSC22D3	-0.108835410560508
SLC25A5	0
CD40LG	0
FLNA	0
LOC106992273	0
UTY	-0.039821794777958
