levels	use_as	name	signature
level1	negative	Bcell	MS4A1;CD79A;CD79B;LOC711872;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level1	negative	BcellII	MS4A1;CD19;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level1	positive	Macrophage	C1QA;C1QB;C1QC
level1	positive	MonocyteI	VCAN;MNDA;LOC712405
level1	positive	MonocyteII	CD68;CD14
level1	positive	Epithelial	CDH1;FLT1
level1	positive	Stromal	COL1A1;COL1A2;COL5A1
level1	positive	Endothelial	RNASE1;RAMP3
level1	positive	NK	KLRD1;GNLY;KLRB1;CD3D-;CD3E-;CD3G-
level1	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level1	positive	DC	CD1C
level1	positive	pDC	LILRA4
level1	positive	TReg	FOXP3
level1	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level2	negative	Macrophage	C1QA;C1QB;C1QC
level2	positive	MonocyteI	VCAN;MNDA;LOC712405
level2	positive	MonocyteII	CD68;CD14
level2	positive	Epithelial	CDH1;FLT1
level2	positive	Stromal	COL1A1;COL1A2;COL5A1
level2	positive	Endothelial	RNASE1;RAMP3
level2	positive	NK	KLRD1;GNLY;KLRB1;CD3D-;CD3E-;CD3G-
level2	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level2	positive	DC	CD1C
level2	positive	pDC	LILRA4
level2	positive	TReg	FOXP3
level2	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level3	negative	MonocyteI	VCAN;MNDA;LOC712405
level3	negative	MonocyteII	CD68;CD14
level3	positive	Epithelial	CDH1;FLT1
level1	positive	Stromal	COL1A1;COL1A2;COL5A1
level3	positive	Endothelial	RNASE1;RAMP3
level3	positive	NK	KLRD1;GNLY;KLRB1;CD3D-;CD3E-;CD3G-
level3	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level1	positive	DC	CD1C
level1	positive	pDC	LILRA4
level1	positive	TReg	FOXP3
level3	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level4	negative	Endothelial	RNASE1;RAMP3
level4	negative	Epithelial	CDH1;FLT1
level4	negative	Stromal	COL1A1;COL1A2;COL5A1
level4	positive	NK	KLRD1;GNLY;KLRB1;CD3D-;CD3E-;CD3G-
level4	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level4	positive	DC	CD1C
level4	positive	pDC	LILRA4
level4	positive	TReg	FOXP3
level4	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level5	negative	DC	CD1C
level5	negative	pDC	LILRA4
level5	positive	TReg	FOXP3
level5	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level5	positive	NK	KLRD1;GNLY;KLRB1;CD3D-;CD3E-;CD3G-
level5	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level6	negative	NK	KLRD1;GNLY;KLRB1;CD3D-;CD3E-;CD3G-
level6	positive	TReg	FOXP3
level6	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level6	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level7	negative	TReg	FOXP3
level7	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-
level7	positive	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level8	negative	Tcell	CD3D;CD3E;CD3G;CD7;MAMU-DRB1-;IFI30-
level8	positive	PreB	HBB;CD14-;CD8A-;CD8B-;CD4-;CD3D-;CD3E-;CD3G-